# AthenaK native multigroup opacity table, format version 1.
#
# Values for each opacity kind are ordered by group, density, then electron
# temperature, with temperature varying fastest.  This small two-by-two table is
# deliberately nonlinear so both linear and logarithmic interpolation are testable.

athenak_opacity_table 1
dimensions 2 2 2

density
1.0 3.0

temperature
1.0 2.0

group_bound
0.0 1.0 100.0

# Rosseland/transport mass opacity
transport
# group 0
100.0 400.0
900.0 3600.0
# group 1
200.0 800.0
1800.0 7200.0

# Planck absorption mass opacity
absorption
# group 0
0.10 0.40
0.90 3.60
# group 1
0.20 0.80
1.80 7.20

# Planck emission mass opacity
emission
# group 0
0.15 0.60
1.35 5.40
# group 1
0.25 1.00
2.25 9.00

end
