# Native density-temperature EOS table, format version 1.
# Values are ordered by density row with temperature varying fastest.
# This example exactly represents a gamma=1.4 ideal gas in code units.

athenak_eos_table 1
dimensions 4 5

density
0.01 0.1 1.0 10.0

temperature
0.01 0.1 1.0 10.0 100.0

pressure
0.0001 0.001 0.01 0.1 1.0
0.001 0.01 0.1 1.0 10.0
0.01 0.1 1.0 10.0 100.0
0.1 1.0 10.0 100.0 1000.0

specific_internal_energy
0.025 0.25 2.5 25.0 250.0
0.025 0.25 2.5 25.0 250.0
0.025 0.25 2.5 25.0 250.0
0.025 0.25 2.5 25.0 250.0

sound_speed_squared
0.014 0.14 1.4 14.0 140.0
0.014 0.14 1.4 14.0 140.0
0.014 0.14 1.4 14.0 140.0
0.014 0.14 1.4 14.0 140.0

end
